ANO,MES,SETOR,QUANT,FOB,UF,PAIS,NOME_PAIS
2026,4,RACOES,0.118866,0.113741,RS,URY,Uruguai
2026,7,PHORTIC,6.1e-05,0.000122,RJ,SGP,Cingapura
2026,1,OPORANI,0.000446,0.000856,ES,HKG,Hong Kong
2026,8,CHAMATE,5e-05,0.000129,SP,MHL,"Marshall, Ilhas"
2026,7,PHORTIC,4e-06,3.3e-05,SC,BHS,Bahamas
2026,5,OPORANI,0.000591,0.00201,ES,MHL,"Marshall, Ilhas"
2026,5,CEREAIS,4e-06,2.2e-05,PA,MLT,Malta
2026,1,PFLOREST,0.62102,0.405812,PR,AUS,Austrália
2026,4,FRUTAS,2.2e-05,3.7e-05,ES,KOR,Coreia do Sul
2026,7,POLEAG,6.6e-05,0.001096,PR,PRY,Paraguai
2026,5,FRUTAS,0.005785,0.021579,SP,BEL,Bélgica
2026,4,PHORTIC,5e-06,1.2e-05,ES,LBR,Libéria
2026,8,PHORTIC,0.000225,0.000288,SP,HKG,Hong Kong
2026,6,PADIVER,7e-06,5.6e-05,SP,CYP,Chipre
2026,7,PADIVER,1e-06,1e-05,ES,PRT,Portugal
2026,6,PESCADOS,2e-06,1.8e-05,BA,LBR,Libéria
2026,7,PADIVER,6e-05,0.000258,PR,LBR,Libéria
2026,4,POLEAG,8e-06,4.3e-05,SP,SGP,Cingapura
2026,1,PHORTIC,5e-06,1.8e-05,MA,CHN,China
2026,3,CSUCRO,0.1,0.08065,SP,CHN,China
2026,7,PFLOREST,0.014714,0.031105,RS,DOM,República Dominicana
2026,4,CAFE,0.005376,0.075264,MG,ARG,Argentina
2026,1,CACAU,0.000441,0.004509,SP,LBR,Libéria
2026,7,FRUTAS,0.018249,0.025911,ES,USA,Estados Unidos
2026,6,PESCADOS,2.4e-05,0.000271,SC,DNK,Dinamarca
2026,2,PHORTIC,1.6e-05,7.1e-05,SP,LBR,Libéria
2026,3,CEREAIS,3e-06,8e-06,CE,BRB,Barbados
2026,2,PHORTIC,5e-06,2.4e-05,PA,MAR,Marrocos
2026,3,OPORVEG,5e-06,0.002429,SP,USA,Estados Unidos
2026,5,CHAMATE,4e-06,3.4e-05,CE,MLT,Malta
2026,6,CAR_SUI,1.8e-05,0.000166,RJ,PAN,Panamá
2026,6,CACAU,1.8e-05,0.000357,RS,CPV,Cabo Verde
2026,1,FRUTAS,3.5e-05,6.9e-05,PR,MLT,Malta
2026,7,OPORANI,6e-06,2.1e-05,SP,MLT,Malta
2026,6,PHORTIC,5.5e-05,0.000114,ES,CYP,Chipre
2026,5,LACTEOS,0.023491,0.119657,MG,USA,Estados Unidos
2026,7,PHORTIC,3e-06,8e-06,ES,PAN,Panamá
2026,5,PFLOREST,0.574169,0.195667,MG,MEX,México
2026,5,CAR_OUT,9.7e-05,0.000356,SC,PAN,Panamá
2026,6,FRUTAS,1.8e-05,1.5e-05,ES,URY,Uruguai
2026,4,FRUTAS,2e-06,3.3e-05,AM,PAN,Panamá
2026,8,CEREAIS,5e-06,2.3e-05,SP,BHR,Barein
2026,1,PADIVER,1.4e-05,6.9e-05,ES,LBR,Libéria
2026,8,CAR_FRA,1.2e-05,7.3e-05,BA,PAN,Panamá
2026,8,COUROS,0.000306,0.040542,RS,BOL,Bolívia
2026,4,OPORANI,0.000108,0.00048,RS,PAN,Panamá
